borough,emp
Barking and Dagenham,50000
Barnet,124300
Bexley,69400
Brent,111600
Bromley,105000
Camden,327600
Croydon,113100
Ealing,124400
Enfield,98500
Greenwich,74700
Hackney,108500
Hammersmith and Fulham,130500
Haringey,65100
Harrow,71700
Havering,77000
Hillingdon,200000
Hounslow,143400
Islington,208600
Kensington and Chelsea,125300
Kingston upon Thames,74100
Lambeth,143100
Lewisham,65200
Merton,81200
Newham,90100
Redbridge,72200
Richmond upon Thames,77600
Southwark,203400
Sutton,70000
Tower Hamlets,255200
Waltham Forest,69800
Wandsworth,112400
Westminster,693100
